"Is it a dealbreaker if your partner is open to polyamorous relationships? ","Is it a dealbreaker if your partner has a child/children? ","Is it a dealbreaker if your partner does not want a child/children? ","Is it a dealbreaker if your partner does not take care of themselves? ","Is it a dealbreaker if your partner is not athletic? ","Is it a dealbreaker if your partner is overly athletic? ","Is it a dealbreaker if your partner abuses substances? ","Is it a dealbreaker if your partner lives more than 3 hours from you? ","Is it a dealbreaker if your partner is lazy?","Is it a dealbreaker if your partner is unambitious?","Is it a dealbreaker if your partner is clingy?","Is it a dealbreaker if your partner is arrogant?","Is it a dealbreaker if your partner has poor personal hygiene?","Is it a dealbreaker if your partner is a poor communicator?","Is it a dealbreaker if your partner is inconsistent?","Is it a dealbreaker if your partner tends to be disrespectful to others?","Is it a dealbreaker if your partners romantic behaviours differ from yours? 
e.g. differing love languages, methods of expressing romatic feelings. ","Is it a dealbreaker if your partner wishes to monitor your online activity? 
e.g. looking though text messages, content watched, social media posts and communications.  ","Is it a dealbreaker if your partner is secretive about their own online activity? ","Is it a dealbreaker if your partner suffers from financial strain?","Is it a dealbreaker if your partner has not completed their high school/secondary school studies?","Is it a dealbreaker if your partner has not attended university or an equivalent third level institute?","Is it a dealbreaker if your partner suffers from mental health issues?","Is it a dealbreaker if your partner suffers from health problems?"
"Strongly Agree","Agree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree"
"Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree"
"Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Agree","Agree","Disagree","Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Agree","Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree"
"Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Agree","Strongly Disagree","Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree"
"Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Agree","Agree","Agree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Agree"
"Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree"
"Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Disagree","Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree"
"Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree"
"Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree"
"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree"
"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree"
"Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Disagree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree"
"Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree"
"Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Strongly Disagree"
"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Disagree","Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree"
"Strongly Agree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Agree","Disagree","Disagree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree"
"Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Agree","Strongly Agree","Strongly Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree"
"Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree"
"Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree"
"Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree"
"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Disagree","Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Agree","Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree"
"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree"
"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Agree","Strongly Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Agree","Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree"
"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree"
"Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree"
"Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree"
"Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Agree","Agree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree"
"Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree"
"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
